"","logFC","logCPM","PValue","FDR"
"TRINITY_DN3401_c0_g1_i1",1.31128156595306,6.13544207417294,1.26804965115074e-17,9.36303709083015e-16
"TRINITY_DN4328_c0_g1_i1",1.51730111894026,4.40482273792276,1.2825372000348e-17,9.38067067157529e-16
"TRINITY_DN3021_c0_g1_i1",1.3622311965507,4.5333826964705,2.25011620070298e-17,1.63038793495797e-15
"TRINITY_DN3376_c0_g1_i1",1.57242134739857,4.14273837926945,2.44871921917247e-17,1.75786297280039e-15
"TRINITY_DN983_c0_g1_i1",0.944748151401357,8.08257640997567,2.75584117556874e-17,1.96018684717288e-15
"TRINITY_DN4600_c0_g1_i1",-1.11558801367103,5.14321234081687,4.20939268350316e-17,2.96685649774545e-15
"TRINITY_DN4855_c0_g1_i1",1.04886587207002,6.40374246316409,5.07004526983084e-17,3.54126675468455e-15
"TRINITY_DN584_c0_g1_i1",1.66619493347524,4.58809513510891,5.16084658542112e-17,3.57250389078303e-15
"TRINITY_DN942_c0_g1_i1",-1.60221767478372,7.13914769621283,5.44206967780978e-17,3.73383771788135e-15
"TRINITY_DN4162_c0_g1_i1",0.985006770614437,6.03608233387537,7.26204929918904e-17,4.93883054531689e-15
"TRINITY_DN5379_c0_g1_i1",1.98799538958116,3.63527064841762,8.60409896611375e-17,5.80065906819826e-15
"TRINITY_DN5089_c0_g1_i1",-1.0052269971936,7.45442973136801,1.02874151265481e-16,6.87571805828685e-15
"TRINITY_DN5478_c0_g1_i1",1.05114111657332,6.15763029083001,1.11549812878252e-16,7.39184358329137e-15
"TRINITY_DN2583_c0_g1_i1",0.976824822255245,6.84016716757697,1.18529611086571e-16,7.78779724367955e-15
"TRINITY_DN738_c0_g1_i1",-1.29526955101409,6.99538688972351,2.0394042556446e-16,1.32869757932879e-14
"TRINITY_DN1503_c0_g1_i1",-0.9654212266482,8.45040995327928,3.53724410716804e-16,2.27809041030143e-14
"TRINITY_DN3332_c0_g1_i1",0.985746262080388,7.80350152397671,3.55538423379947e-16,2.27809041030143e-14
"TRINITY_DN4543_c0_g1_i1",0.894518862850856,6.30557322084543,4.91471472668889e-16,3.12326092426385e-14
"TRINITY_DN2019_c0_g1_i1",1.6370440461006,3.9250577419139,6.02585085277083e-16,3.7982456635392e-14
"TRINITY_DN5870_c0_g1_i1",-1.72376448661244,3.70004597312514,8.6191823239242e-16,5.38907423849873e-14
"TRINITY_DN601_c2_g1_i2",-4.0474291261049,7.49920323101224,1.30293510392072e-15,8.0813246885579e-14
"TRINITY_DN3933_c0_g1_i1",0.876421124754317,6.24031125593106,1.37306778993242e-15,8.44872585344924e-14
"TRINITY_DN205_c0_g2_i1",-1.95250215965323,5.81271500851653,1.5219577966494e-15,9.29113291135655e-14
"TRINITY_DN4343_c0_g1_i1",1.35481159050939,4.44269802616693,1.82197348249434e-15,1.10357503201396e-13
"TRINITY_DN5775_c0_g1_i1",3.43299013038723,2.28114507093382,1.86487523033178e-15,1.12080446982653e-13
"TRINITY_DN7154_c0_g1_i1",0.907658703635067,6.53396801370263,2.15872862211848e-15,1.28743253902189e-13
"TRINITY_DN4517_c0_g1_i1",1.93388851528076,3.7240411193143,2.32609028089801e-15,1.37665480517575e-13
"TRINITY_DN2222_c0_g1_i2",1.17036522564661,7.70345286879599,2.70443681181984e-15,1.58844686379085e-13
"TRINITY_DN1903_c0_g1_i1",1.11883531825255,6.90026705368027,2.89948556851641e-15,1.69020388065472e-13
"TRINITY_DN3434_c0_g1_i1",-0.950644690367179,8.92905759308317,3.07010177259343e-15,1.77630589872514e-13
"TRINITY_DN1651_c0_g1_i1",-1.31094205459101,6.64847436874021,3.10759403451229e-15,1.78467974441287e-13
"TRINITY_DN5481_c0_g1_i1",0.967959213671208,6.63928421615083,3.22840918683453e-15,1.84043061952413e-13
"TRINITY_DN601_c2_g1_i3",-1.70449367052213,12.449140379557,5.99140185875389e-15,3.39060865773131e-13
"TRINITY_DN830_c0_g1_i1",1.63920312809315,3.86063781667853,6.43096856893113e-15,3.61299270397993e-13
"TRINITY_DN2515_c0_g1_i1",1.02168403251129,5.24055090000618,6.97749286562722e-15,3.89183468972718e-13
"TRINITY_DN5839_c0_g1_i1",-1.83824559200184,4.31517166668247,7.71922123532867e-15,4.27479444553594e-13
"TRINITY_DN70_c0_g1_i1",-0.888850976161608,9.95790485360086,1.0088525662896e-14,5.51002016246571e-13
"TRINITY_DN1868_c0_g1_i1",-1.24458801727577,4.41463556086802,1.00918723470931e-14,5.51002016246571e-13
"TRINITY_DN1560_c0_g1_i1",0.924020435013283,6.98027406179414,1.15653871492779e-14,6.27038087890568e-13
"TRINITY_DN257_c0_g1_i1",1.46380645021409,5.7497523259513,1.23757304023171e-14,6.6631276256364e-13
"TRINITY_DN3960_c0_g1_i1",-0.979944452361203,6.97224318915493,1.42027994025124e-14,7.59408991501233e-13
"TRINITY_DN3009_c0_g1_i1",1.1094629009355,7.60486076027282,1.84102895665784e-14,9.7763681513481e-13
"TRINITY_DN423_c0_g1_i1",1.12165516875265,6.95547823384976,1.91176660862955e-14,1.00829432086428e-12
"TRINITY_DN203_c0_g1_i1",0.913645774916838,7.50989106070464,1.93033045287845e-14,1.01120621629504e-12
"TRINITY_DN3461_c0_g1_i1",-2.11854465262748,4.48316643626639,2.06317837341076e-14,1.07354509590964e-12
"TRINITY_DN1084_c0_g1_i1",1.368576178891,5.58691858597409,2.38357872314766e-14,1.23199238937092e-12
"TRINITY_DN426_c0_g1_i1",1.44960744973747,4.55368263146294,3.80219959714639e-14,1.95221546203152e-12
